,0
0,10
1,7
2,11
3,10
4,1
5,10
6,11
7,9
8,12
9,0
10,6
11,6
12,11
13,5
14,12
15,6
16,1
17,5
18,6
19,11
20,6
21,3
22,12
23,1
24,6
25,2
26,12
27,1
28,9
29,11
30,6
31,12
32,6
33,7
34,1
35,5
36,6
37,6
38,3
39,12
40,1
41,1
42,9
43,6
44,11
45,7
46,12
47,6
48,7
49,12
50,0
51,8
52,12
53,2
54,5
55,6
56,4
57,6
58,1
59,5
60,0
61,6
62,11
63,5
64,12
65,6
66,2
67,11
68,5
69,6
70,12
71,2
72,11
73,9
74,12
75,1
76,5
77,6
78,4
79,1
80,5
81,6
82,11
83,10
84,12
85,5
86,6
87,1
88,5
89,6
90,4
91,12
92,5
93,7
94,6
95,11
96,10
97,6
98,12
99,5
100,0
101,0
102,6
103,1
104,5
105,0
106,0
107,6
108,11
109,10
110,6
111,4
112,6
113,12
114,5
115,6
116,1
117,10
118,11
119,4
120,5
121,6
122,3
123,0
124,4
125,5
126,6
127,3
128,0
129,1
130,10
131,10
132,5
133,2
134,6
135,1
136,10
137,11
138,5
139,10
140,0
141,10
142,12
143,2
144,12
145,1
146,9
147,0
148,10
149,1
150,6
151,11
152,5
153,1
154,5
155,6
156,4
157,5
158,6
159,3
160,12
161,1
162,5
163,6
164,2
165,11
166,1
167,5
168,0
169,6
170,4
171,6
172,3
173,12
174,1
175,5
176,6
177,1
178,5
179,6
180,1
181,5
182,0
183,10
184,1
185,10
186,11
187,10
188,12
189,7
190,6
191,4
192,12
193,6
194,1
195,0
196,6
197,11
198,0
199,6
200,3
201,3
202,12
203,1
204,10
205,4
206,10
207,3
208,12
209,0
210,6
211,8
212,12
213,4
214,6
215,11
216,5
217,6
218,1
219,10
220,12
221,0
222,5
223,6
224,4
225,1
226,5
227,10
228,1
229,10
230,9
231,12
232,0
233,11
234,5
235,6
236,1
237,5
238,10
239,12
240,5
241,6
242,1
243,7
244,4
245,7
246,4
247,5
248,6
249,3
250,2
251,12
252,6
253,5
254,0
255,11
256,5
257,6
258,3
259,12
260,5
261,6
262,1
263,7
264,4
265,7
266,0
267,6
268,2
269,11
270,0
271,6
272,3
273,3
274,12
275,4
276,12
277,1
278,5
279,6
280,1
281,7
282,4
283,7
284,6
285,0
286,0
287,6
288,1
289,6
290,3
291,12
292,0
293,4
294,0
295,0
296,0
297,6
298,3
299,12
300,6
301,4
302,2
303,5
304,6
305,3
306,8
307,12
308,11
309,1
310,5
311,6
312,7
313,4
314,7
315,3
316,2
317,12
318,5
319,6
320,1
321,0
322,0
323,6
324,11
